time,actual,predict,diff
0,25.236,27.62543207,2.38943207
1,11.008,26.47482835,15.46682835
2,25.632,27.41153256,1.77953256
3,35.746,26.90755904,-8.83844096
4,41.23,29.58335891,-11.64664109
5,17.559,28.87058266,11.31158266
6,35.696,31.59361765,-4.10238235
7,20.43,32.50181096,12.07181096
8,43.679,32.27100934,-11.40799066
9,9.56,39.06808286,29.50808286
10,14.113,41.60534594,27.49234594
11,34.901,26.54808788,-8.35291212
12,45.428,23.61010179,-21.81789821
13,36.808,25.18868143,-11.61931857
14,37.094,23.19454251,-13.89945749
15,38.757,24.79179329,-13.96520671
16,11.514,24.179443,12.665443
17,48.432,32.23659381,-16.19540619
18,39.173,40.48832827,1.31532827
19,30.202,35.09375678,4.89175678
20,23.274,36.36476275,13.09076275
21,18.106,34.43159252,16.32559252
22,45.591,22.64570634,-22.94529366
23,26.003,20.81160974,-5.19139026
24,13.137,33.86021496,20.72321496
25,27.204,37.36090838,10.15690838
26,39.462,33.23078172,-6.23121828
27,14.411,29.56921256,15.15821256
28,41.478,30.27647926,-11.20152074
29,17.756,33.87032989,16.11432989
30,38.523,26.3994224,-12.1235776
31,22.816,24.94405188,2.12805188
32,42.033,35.12953839,-6.90346161
33,26.278,40.16066824,13.88266824
34,23.585,37.37546555,13.79046555
35,46.188,29.72986422,-16.45813578
36,21.504,30.06789864,8.56389864
37,39.866,31.66757693,-8.19842307
38,20.111,34.08669818,13.97569818
39,41.755,32.61846877,-9.13653123
40,33.275,33.08933388,-0.18566612
41,46.72,32.76874211,-13.95125789
42,39.22,33.26923653,-5.95076347
43,38.131,38.98766269,0.85666269
44,15.762,37.26227504,21.50027504
45,30.303,31.28221305,0.97921305
46,22.722,36.18772593,13.46572593
47,48.093,36.75662291,-11.33637709
48,42.933,33.9571461,-8.9758539
49,20.008,35.4618726,15.4538726
50,22.334,33.22070217,10.88670217
51,15.879,31.2956341,15.4166341
52,29.221,29.27236905,0.05136905
53,28.821,31.71059192,2.88959192
54,46.351,35.35318723,-10.99781277
55,28.707,34.24971248,5.54271248
56,42.036,32.84436624,-9.19163376
57,34.326,29.51532589,-4.81067411
58,29.782,27.82381913,-1.95818087
59,22.446,31.10242833,8.65642833
60,38.171,34.05920743,-4.11179257
61,46.969,33.93447498,-13.03452502
62,22.822,35.96450952,13.14250952
63,20.893,35.36267317,14.46967317
64,41.03,31.17054784,-9.85945216
65,18.738,28.14622711,9.40822711
66,30.756,29.61744422,-1.13855578
67,49.431,35.12223032,-14.30876968
68,38.357,38.13875552,-0.21824448
69,24.754,33.36453623,8.61053623
70,26.285,29.67410434,3.38910434
71,14.026,30.45425121,16.42825121
72,8.269,29.7263576,21.4573576
73,46.605,25.59760292,-21.00739708
74,49.836,31.22429495,-18.61170505
75,38.398,38.34553173,-0.05246827
76,15.747,38.8335761,23.0865761
77,19.692,34.86327161,15.17127161
78,26.982,25.53067849,-1.45132151
79,32.008,27.18681444,-4.82118556
80,36.748,38.15371366,1.40571366
81,28.084,42.37650614,14.29250614
82,43.348,36.08518499,-7.26281501
83,39.77,30.52554515,-9.24445485
84,16.397,31.36892901,14.97192901
85,25.018,27.71918681,2.70118681
86,43.585,28.22037706,-15.36462294
87,28.139,33.00456189,4.86556189
88,51.823,37.30036819,-14.52263181
89,28.182,36.68066855,8.49866855
90,19.831,28.16188501,8.33088501
91,17.76,26.40148627,8.64148627
92,25.636,24.5919792,-1.0440208
93,16.853,30.02618094,13.17318094
94,33.023,36.58185438,3.55885438
95,25.544,31.83677498,6.29277498
96,30.381,28.66339564,-1.71760436
97,36.477,24.97835537,-11.49864463
98,14.837,24.82977637,9.99277637
99,17.197,28.6408916,11.4438916
100,38.796,33.95220067,-4.84379933
101,43.728,34.32848156,-9.39951844
102,19.027,33.21198674,14.18498674
103,73.432,33.55500197,-39.87699803
104,48.99,28.6763823,-20.3136177
105,26.537,23.49561203,-3.04138797
106,17.528,27.02954753,9.50154753
107,19.199,36.4945625,17.2955625
108,28.847,33.71477697,4.86777697
109,18.325,29.50978882,11.18478882
110,10.292,29.02685302,18.73485302
111,15.386,26.7314539,11.3454539
112,4.858,28.35371093,23.49571093
113,5.352,22.39462179,17.04262179
114,41.957,23.63604562,-18.32095438
115,29.179,33.67698653,4.49798653
116,32.687,36.69487977,4.00787977
117,31.367,31.9707005,0.6037005
118,5.38,37.79812258,32.41812258
119,39.032,28.48412788,-10.54787212
120,26.718,23.90811876,-2.80988124
121,29.047,34.26622344,5.21922344
122,32.994,33.09102036,0.09702036
123,104.398,37.03264688,-67.36535312
124,74.644,33.10786547,-41.53613453
125,34.352,18.23680978,-16.11519022
126,60.652,17.12841909,-43.52358091
127,22.472,27.76281113,5.29081113
128,19.926,41.75915341,21.83315341
129,30.657,36.0040061,5.3470061
130,48.908,45.76976824,-3.13823176
131,40.308,42.859153,2.551153
132,39.893,47.58519566,7.69219566
133,23.722,43.97163801,20.24963801
134,34.34,33.57525149,-0.76474851
135,48.151,31.26416499,-16.88683501
136,45.582,31.08135523,-14.50064477
137,57.127,39.34668962,-17.78031038
138,21.977,43.90347919,21.92647919
139,24.611,43.32736849,18.71636849
140,28.416,35.3484816,6.9324816
141,32.155,38.16128119,6.00628119
142,32.068,36.987855,4.919855
143,53.332,40.2129844,-13.1190156
144,19.668,55.0673424,35.3993424
145,27.069,42.36972092,15.30072092
146,32.208,37.13856077,4.93056077
147,24.814,38.52429041,13.71029041
148,40.934,37.09602931,-3.83797069
149,42.593,38.62209034,-3.97090966
150,51.016,38.14090981,-12.87509019
151,24.828,34.70041849,9.87241849
152,31.095,33.21566633,2.12066633
153,22.653,32.91182532,10.25882532
154,40.856,33.51016292,-7.34583708
155,45.036,39.86313678,-5.17286322
156,37.525,41.38860026,3.86360026
157,34.264,38.90906658,4.64506658
158,14.603,36.04758324,21.44458324
159,27.46,29.03866425,1.57866425
160,40.782,30.67156299,-10.11043701
161,21.965,38.17353075,16.20853075
162,42.237,39.48185936,-2.75514064
163,28.065,39.22460285,11.15960285
164,48.294,34.14593322,-14.14806678
165,36.828,26.22831576,-10.59968424
166,27.501,30.85596684,3.35496684
167,36.987,35.37252471,-1.61447529
168,32.199,35.70014936,3.50114936
169,33.792,37.05752339,3.26552339
170,63.868,39.04156704,-24.82643296
171,34.251,35.37024462,1.11924462
172,27.785,32.45641958,4.67141958
173,8.4,32.59692196,24.19692196
174,31.072,33.60983802,2.53783802
175,50.773,38.86482113,-11.90817887
176,32.851,39.39791291,6.54691291
177,37.266,38.50352591,1.23752591
178,39.641,35.35065948,-4.29034052
179,34.469,29.97409279,-4.49490721
180,17.289,32.57087592,15.28187592
181,47.35,44.09416114,-3.25583886
182,45.311,44.93974646,-0.37125354
183,46.538,36.38062507,-10.15737493
184,117.668,35.43367817,-82.23432183
185,23.584,35.68636664,12.10236664
186,28.907,34.20418154,5.29718154
187,16.552,36.02597354,19.47397354
188,30.867,39.94298693,9.07598693
189,44.848,53.21784736,8.36984736
190,35.327,46.8357631,11.5087631
191,52.347,39.53673865,-12.81026135
192,36.373,30.34320713,-6.02979287
193,21.758,30.01427929,8.25627929
194,29.947,31.41393907,1.46693907
195,67.507,33.48976795,-34.01723205
196,34.512,40.11266458,5.60066458
197,33.542,48.64794337,15.10594337
198,50.915,45.70687327,-5.20812673
199,21.614,34.26527603,12.65127603
200,36.469,37.89328469,1.42428469
201,25.285,41.30647788,16.02147788
202,45.311,38.63755167,-6.67344833
203,47.531,50.58213964,3.05113964
204,36.122,58.92535662,22.80335662
205,50.034,51.99926762,1.96526762
206,44.595,37.59146431,-7.00353569
207,20.134,32.70677097,12.57277097
208,15.618,30.65177146,15.03377146
209,27.622,35.42388166,7.80188166
210,37.06,39.5455445,2.4855445
211,27.059,39.41947151,12.36047151
212,32.885,36.12947368,3.24447368
213,29.887,32.12785537,2.24085537
214,14.784,26.09073817,11.30673817
215,30.985,26.62800487,-4.35699513
216,42.179,38.96651686,-3.21248314
217,38.013,42.44584431,4.43284431
218,36.074,37.21582027,1.14182027
219,25.281,33.4942377,8.2132377
220,17.874,28.88498454,11.01098454
221,10.758,26.58895251,15.83095251
222,30.009,25.40832047,-4.60067953
223,42.029,32.07249254,-9.95650746
224,35.93,39.25279728,3.32279728
225,36.38,36.57545442,0.19545442
226,35.317,31.91790866,-3.39909134
227,20.863,23.91128729,3.04828729
228,25.651,21.71567335,-3.93532665
229,24.874,34.144518,9.270518
230,34.465,40.27711769,5.81211769
231,33.301,35.90345434,2.60245434
232,28.034,34.75664225,6.72264225
233,37.359,32.86035829,-4.49864171
234,45.066,25.80645872,-19.25954128
235,14.719,23.40790738,8.68890738
236,44.708,30.13866384,-14.56933616
237,22.454,41.60601424,19.15201424
238,46.82,38.82386608,-7.99613392
239,37.096,34.28418108,-2.81181892
240,40.756,34.09460772,-6.66139228
241,49.201,30.89954006,-18.30145994
242,35.091,27.62179966,-7.46920034
243,47.419,31.44788876,-15.97111124
244,21.547,37.84333903,16.29633903
245,41.961,40.11703606,-1.84396394
246,54.301,38.96540434,-15.33559566
247,41.538,36.67661944,-4.86138056
248,31.271,37.60323427,6.33223427
249,16.956,38.20509027,21.24909027
250,59.393,33.86760558,-25.52539442
251,58.522,36.96791605,-21.55408395
252,47.922,39.3386189,-8.5833811
253,48.151,42.46101081,-5.68998919
254,33.862,44.07597157,10.21397157
255,23.166,38.86108651,15.69508651
256,6.964,29.51659763,22.55259763
257,3.003,30.01094368,27.00794368
258,58.057,25.84258038,-32.21441962
259,23.341,36.50862826,13.16762826
260,36.621,35.70549577,-0.91550423
261,53.366,34.56077507,-18.80522493
262,10.513,41.47982725,30.96682725
263,30.009,38.63924994,8.63024994
264,76.303,25.24365704,-51.05934296
265,24.847,42.56866228,17.72166228
266,30.091,59.64628025,29.55528025
267,52.659,46.63825662,-6.02074338
268,35.397,43.26702093,7.87002093
269,14.612,43.85099792,29.23899792
270,19.049,21.79352254,2.74452254
271,28.055,28.98433139,0.92933139
272,33.051,41.10752472,8.05652472
273,36.138,30.39651592,-5.74148408
274,9.885,32.96452673,23.07952673
275,32.468,25.03481303,-7.43318697
276,18.105,25.48919666,7.38419666
277,34.29,21.22523686,-13.06476314
278,48.774,23.61469341,-25.15930659
279,40.965,44.28542491,3.32042491
280,42.329,37.08396059,-5.24503941
281,24.684,30.69664393,6.01264393
282,19.295,30.2531477,10.9581477
283,16.339,26.5494579,10.2104579
284,20.27,28.14257111,7.87257111
285,29.392,31.00455371,1.61255371
286,23.49,32.17155635,8.68155635
287,48.538,31.09669863,-17.44130137
288,21.696,28.97442089,7.27842089
289,1.977,24.99958375,23.02258375
290,31.961,20.67083217,-11.29016783
291,19.44,20.84531176,1.40531176
292,40.805,29.47517084,-11.32982916
293,33.271,31.84838179,-1.42261821
294,36.241,31.4265503,-4.8144497
295,7.746,27.25418506,19.50818506
296,51.385,23.39989563,-27.98510437
297,19.353,27.0550432,7.7020432
298,31.692,35.10256262,3.41056262
299,9.035,34.48886197,25.45386197
300,34.069,32.08214752,-1.98685248
301,42.272,29.65168874,-12.62031126
302,38.766,29.30979193,-9.45620807
303,16.256,36.44074462,20.18474462
304,35.98,34.90333035,-1.07666965
305,25.81,25.76175333,-0.04824667
306,35.244,25.63937958,-9.60462042
307,37.085,41.42138631,4.33638631
308,62.112,39.46224276,-22.64975724
309,42.231,23.7262741,-18.5047259
310,15.526,23.30238857,7.77638857
311,25.814,28.30788908,2.49388908
312,37.419,28.41056368,-9.00843632
313,49.273,33.23773991,-16.03526009
