time,actual,predict,diff
0,25.236,33.59681402,8.360814015
1,11.008,32.223216,21.215216
2,25.632,30.07141312,4.439413116
3,35.746,28.74833865,-6.997661355
4,41.23,30.07320573,-11.15679427
5,17.559,27.42615655,9.867156552
6,35.696,27.37488215,-8.321117846
7,20.43,24.55104774,4.121047745
8,43.679,31.3319189,-12.3470811
9,9.56,36.45471997,26.89471997
10,14.113,41.40562227,27.29262227
11,34.901,27.70474169,-7.196258314
12,45.428,19.61585641,-25.81214359
13,36.808,27.37140306,-9.436596942
14,37.094,29.31765233,-7.776347669
15,38.757,24.96625322,-13.79074678
16,11.514,19.37808284,7.864082836
17,48.432,28.9049746,-19.5270254
18,39.173,43.44629852,4.273298524
19,30.202,41.40642423,11.20442423
20,23.274,34.44006421,11.16606421
21,18.106,35.85258485,17.74658485
22,45.591,31.27326175,-14.31773825
23,26.003,23.24934318,-2.753656825
24,13.137,24.28913868,11.15213868
25,27.204,39.20477004,12.00077004
26,39.462,37.75768252,-1.70431748
27,14.411,30.82802204,16.41702204
28,41.478,34.67886776,-6.799132244
29,17.756,29.36815229,11.61215229
30,38.523,23.72651587,-14.79648413
31,22.816,29.80994631,6.993946312
32,42.033,30.42348382,-11.60951618
33,26.278,21.70071128,-4.577288724
34,23.585,29.70028797,6.115287973
35,46.188,32.99885774,-13.18914226
36,21.504,30.71304481,9.209044815
37,39.866,36.94087738,-2.92512262
38,20.111,36.74556843,16.63456843
39,41.755,31.61867107,-10.13632893
40,33.275,35.11746966,1.842469662
41,46.72,30.96410185,-15.75589815
42,39.22,25.12739038,-14.09260962
43,38.131,33.56716505,-4.563834955
44,15.762,31.36513542,15.60313542
45,30.303,31.12013044,0.817130439
46,22.722,39.27373475,16.55173475
47,48.093,38.84457948,-9.248420523
48,42.933,32.74120025,-10.19179975
49,20.008,38.73114524,18.72314524
50,22.334,38.23894561,15.90494561
51,15.879,31.20729259,15.32829259
52,29.221,33.34885475,4.12785475
53,28.821,30.70082474,1.879824738
54,46.351,32.38504701,-13.96595299
55,28.707,36.50821942,7.80121942
56,42.036,31.45252362,-10.58347638
57,34.326,24.97184926,-9.354150739
58,29.782,26.53881816,-3.243181845
59,22.446,35.6468111,13.2008111
60,38.171,35.20470651,-2.966293492
61,46.969,36.29993757,-10.66906243
62,22.822,37.7429917,14.9209917
63,20.893,38.06231763,17.16931763
64,41.03,38.45420924,-2.575790764
65,18.738,34.81891216,16.08091216
66,30.756,33.93469512,3.178695123
67,49.431,35.00012783,-14.43087217
68,38.357,38.65293045,0.295930454
69,24.754,36.9915621,12.2375621
70,26.285,35.30942139,9.024421386
71,14.026,34.97745671,20.95145671
72,8.269,33.69553777,25.42653777
73,46.605,32.14696877,-14.45803123
74,49.836,28.61179103,-21.22420897
75,38.398,33.03996217,-5.358037826
76,15.747,31.26407065,15.51707065
77,19.692,36.17901443,16.48701443
78,26.982,21.36267685,-5.619323147
79,32.008,23.92500515,-8.082994854
80,36.748,34.98206405,-1.765935949
81,28.084,40.72391611,12.63991611
82,43.348,38.06179871,-5.286201289
83,39.77,25.79252662,-13.97747338
84,16.397,28.11726807,11.72026807
85,25.018,24.72686,-0.291139997
86,43.585,28.31151953,-15.27348047
87,28.139,32.36040244,4.221402437
88,51.823,33.36298342,-18.46001658
89,28.182,35.94428359,7.76228359
90,19.831,38.61131497,18.78031497
91,17.76,29.9702363,12.2102363
92,25.636,34.16621419,8.530214187
93,16.853,37.8552623,21.0022623
94,33.023,30.83916498,-2.183835024
95,25.544,29.75571763,4.211717631
96,30.381,32.00751994,1.626519942
97,36.477,28.44917771,-8.027822292
98,14.837,24.31134199,9.474341995
99,17.197,26.22313053,9.026130532
100,38.796,31.51213605,-7.283863948
101,43.728,36.8302618,-6.897738202
102,19.027,34.98232744,15.95532744
103,73.432,29.9161118,-43.5158882
104,48.99,28.37094523,-20.61905477
105,26.537,18.62617364,-7.910826362
106,17.528,24.52310491,6.995104907
107,19.199,31.55739181,12.35839181
108,28.847,36.02541531,7.178415311
109,18.325,31.21246996,12.88746996
110,10.292,36.50234624,26.21034624
111,15.386,30.7411449,15.3551449
112,4.858,29.84171026,24.98371026
113,5.352,20.94083554,15.58883554
114,41.957,20.79455038,-21.16244962
115,29.179,20.33217662,-8.846823376
116,32.687,29.4003349,-3.286665097
117,31.367,32.43942311,1.072423114
118,5.38,32.30213054,26.92213054
119,39.032,26.39262735,-12.63937265
120,26.718,21.18331277,-5.534687229
121,29.047,42.35778978,13.31078978
122,32.994,34.50076165,1.506761653
123,104.398,28.2975147,-76.1004853
124,74.644,23.44533419,-51.19866581
125,34.352,30.40101909,-3.950980913
126,60.652,39.75900371,-20.89299629
127,22.472,27.89947669,5.427476686
128,19.926,34.63199235,14.70599235
129,30.657,34.37756629,3.720566291
130,48.908,49.38667524,0.478675244
131,40.308,33.3274534,-6.980546601
132,39.893,35.82561695,-4.067383051
133,23.722,33.17072113,9.448721129
134,34.34,31.35266768,-2.98733232
135,48.151,35.5456618,-12.6053382
136,45.582,31.46268769,-14.11931231
137,57.127,41.85156763,-15.27543237
138,21.977,44.52247908,22.54547908
139,24.611,42.70681186,18.09581186
140,28.416,31.15994151,2.743941513
141,32.155,32.22320028,0.068200276
142,32.068,31.47744731,-0.590552692
143,53.332,42.21975421,-11.11224579
144,19.668,44.76402266,25.09602266
145,27.069,33.91684756,6.847847559
146,32.208,33.19905708,0.991057084
147,24.814,32.53835129,7.724351293
148,40.934,38.38484747,-2.549152528
149,42.593,39.01849494,-3.574505059
150,51.016,43.30511408,-7.710885924
151,24.828,34.28151574,9.453515737
152,31.095,39.56556207,8.470562072
153,22.653,42.36944967,19.71644967
154,40.856,35.52017988,-5.335820118
155,45.036,38.92014858,-6.115851423
156,37.525,42.79200056,5.267000558
157,34.264,40.82056027,6.556560275
158,14.603,39.75620864,25.15320864
159,27.46,36.86344097,9.403440969
160,40.782,36.71703591,-4.064964088
161,21.965,39.336614,17.371614
162,42.237,39.68705916,-2.549940837
163,28.065,38.82089018,10.75589018
164,48.294,33.52984241,-14.76415759
165,36.828,30.11678681,-6.711213188
166,27.501,40.09749809,12.59649809
167,36.987,40.3860979,3.399097903
