time,actual,predict,diff
0,25.236,30.61182279,5.375822791
1,11.008,27.57400632,16.56600632
2,25.632,28.11579191,2.483791907
3,35.746,29.54442253,-6.201577471
4,41.23,36.43406161,-4.795938385
5,17.559,33.65630458,16.09730458
6,35.696,34.09759542,-1.598404584
7,20.43,31.47653134,11.04653134
8,43.679,22.15093375,-21.52806625
9,9.56,33.79222911,24.23222911
10,14.113,42.48765636,28.37465636
11,34.901,29.89656793,-5.004432072
12,45.428,31.28758501,-14.14041499
13,36.808,33.30765204,-3.500347962
14,37.094,28.11434327,-8.979656734
15,38.757,27.91478667,-10.84221333
16,11.514,23.72804706,12.21404706
17,48.432,27.57072968,-20.86127032
18,39.173,40.25626278,1.083262776
19,30.202,38.48026511,8.278265106
20,23.274,33.13673607,9.862736066
21,18.106,35.85954698,17.75354698
22,45.591,32.37841511,-13.21258489
23,26.003,29.70299066,3.69999066
24,13.137,33.86416973,20.72716973
25,27.204,32.70849086,5.504490857
26,39.462,33.1255322,-6.336467801
27,14.411,38.44185746,24.03085746
28,41.478,31.09489226,-10.38310774
29,17.756,31.19701845,13.44101845
30,38.523,29.59822664,-8.924773357
31,22.816,28.58080349,5.764803489
32,42.033,35.00789977,-7.025100225
33,26.278,39.20752973,12.92952973
34,23.585,31.98373826,8.39873826
35,46.188,32.9440158,-13.2439842
36,21.504,31.14558877,9.64158877
37,39.866,31.25353901,-8.61246099
38,20.111,35.72535217,15.61435217
39,41.755,35.96722203,-5.787777966
40,33.275,37.74394304,4.468943041
41,46.72,37.53894373,-9.181056274
42,39.22,37.09459836,-2.125401635
43,38.131,31.94287953,-6.188120474
44,15.762,32.01621571,16.25421571
45,30.303,29.79294788,-0.510052116
46,22.722,35.12386963,12.40186963
47,48.093,35.44895867,-12.64404133
48,42.933,37.57336122,-5.359638781
49,20.008,37.98010876,17.97210876
50,22.334,35.00296221,12.66896221
51,15.879,31.69885144,15.81985144
52,29.221,30.20953124,0.988531243
53,28.821,33.41680129,4.595801289
54,46.351,35.87489431,-10.47610569
55,28.707,36.6868641,7.979864095
56,42.036,33.42769066,-8.608309339
