time,train,val
0,0.098789491,0.090106338
1,0.091026366,0.089366116
2,0.092367135,0.090481937
3,0.092976168,0.089532666
4,0.093009181,0.089876197
5,0.092127368,0.090084456
6,0.092398249,0.0899221
7,0.091586821,0.090662815
8,0.092752509,0.090211101
9,0.093467571,0.090440609
10,0.093774237,0.090776406
11,0.096164711,0.090860143
12,0.098178737,0.091531403
13,0.098021992,0.091124363
14,0.099376142,0.092056863
15,0.09799324,0.092689566
16,0.097314492,0.095690362
17,0.09763357,0.094341382
18,0.093553886,0.094112292
19,0.093772039,0.092076443
20,0.089317657,0.088689201
21,0.088574074,0.088837728
22,0.089952625,0.090263933
23,0.089211032,0.09027309
24,0.089513823,0.089916654
25,0.088788182,0.089464895
26,0.088562667,0.089690156
27,0.08851514,0.088559553
28,0.088081904,0.088582449
29,0.088703312,0.089269109
30,0.088221416,0.088993378
31,0.088900454,0.088917285
32,0.088901393,0.089186549
33,0.089113556,0.088875003
34,0.088445678,0.087591916
35,0.088155806,0.089126371
36,0.088337846,0.087486982
37,0.087710828,0.088483334
38,0.088312633,0.088645309
39,0.087481216,0.08840891
40,0.088024348,0.088499486
41,0.087100528,0.088067338
42,0.086817525,0.088367961
43,0.086610042,0.087867796
44,0.085896648,0.087430827
45,0.085832313,0.088603392
46,0.087043464,0.087479018
47,0.085896738,0.088879213
48,0.086119033,0.087165587
49,0.084805042,0.087767839
50,0.085258372,0.086852975
51,0.084629364,0.08737161
52,0.085034303,0.08730378
53,0.084341846,0.087822005
54,0.083855584,0.086952738
55,0.082781948,0.087154128
56,0.082790852,0.087843083
57,0.083889589,0.086842813
58,0.083279967,0.086892694
59,0.082326636,0.08771231
