,Energy (kWh)
0,65.93578
21,37.078389
43,31.307831
65,40.673136
85,55.73276
105,25.569209
125,26.192193000000003
147,40.330451
169,23.316847
189,50.405731
211,28.331621
232,39.796383
254,29.742006
276,48.526236
297,47.753427
319,44.550378
339,56.50734800000001
358,29.480659
380,39.995075
402,42.396892
424,41.314053
445,65.407644
466,50.531681
485,54.136614
507,41.833066
528,32.850758
550,28.612791
572,40.061926
592,46.01633
613,41.535902
635,61.90735
654,31.019244
672,65.550893
691,22.693728
712,15.801472
732,41.23094
753,55.12513
771,52.666289
791,50.160062
811,46.325414
832,20.651249
854,27.961769
876,32.111572
898,38.790298
919,49.33398
939,53.534984
960,52.472729
982,36.092901
1004,33.218367
1026,63.14152
1047,37.482921
1069,35.242389
1089,59.760615
1109,48.980074
1130,38.027745
1151,38.614318
1173,43.140604
1194,58.647642
1215,37.744295
1237,50.37928
1258,39.598838
1280,36.742395
1300,24.315816
1321,46.923092
1341,53.599649
1363,59.52967
1385,43.055052
1407,36.484335
1429,57.666995
1451,33.951058
1473,49.164398000000006
1495,60.876017
1516,49.375263
1536,33.525884
1558,60.97297
1580,46.953219
1602,33.795515
1623,48.996557
1645,57.593075
1667,64.138522
1687,45.237806
1709,55.5331
1731,34.256207
1753,32.030624
1775,49.127526
1796,43.086419
1817,63.803701
1839,55.119
1861,33.275
1883,42.393
1905,30.891
1926,57.945
1948,44.768
1969,65.138
1989,43.14
2009,31.039
2031,31.981
2053,22.076
2075,36.069
2097,31.801
2119,47.686
2141,59.983
2162,37.406
2184,29.179
2206,45.033
2228,48.734
2250,37.127
2272,42.547
2294,39.498000000000005
2316,56.504
2338,29.381
2360,33.074
2381,33.09
2401,60.147
2422,38.079
2443,15.729
2464,25.759
2485,31.807
2506,41.004
2528,45.496
2550,52.165
2571,54.483
2593,40.104
2614,41.661
2636,41.292
2658,22.096
2680,25.567
2701,69.65700000000001
2723,61.053
2745,52.531
2766,32.279
2787,30.301
2808,32.285
2830,63.191
2850,32.37
2872,19.983
2893,39.595
2913,47.922
2935,45.032
2956,40.437
2977,77.64
2997,18.332
3018,37.214
3038,41.237
3058,27.573
3078,26.195
3097,1.207
3113,23.801
3133,22.283
3153,29.167
3172,19.074
3192,28.57
3214,17.497
3235,25.094
3257,44.412
3278,41.527
3299,39.614
3320,55.663
3342,66.607
3366,51.751
3407,46.126
3430,43.328
3453,57.841
3475,52.883
3499,57.561
3523,30.359
3546,24.476
3568,18.849
3592,45.24
3616,39.304
3640,57.902
3664,56.007
3688,43.791
3712,33.010000000000005
3735,65.487
3757,45.127
3781,60.475
3805,64.101
3829,37.592
3853,26.024
3876,33.836
3899,51.474
3923,57.061
3946,27.003
3970,43.268
3994,48.644
4018,13.341
4042,25.826
4066,30.62
4090,44.498000000000005
4114,39.444
4138,23.693
4162,52.427
4186,63.57300000000001
4210,10.441
4234,41.595
4258,36.985
4281,55.337
4304,37.531000000000006
4328,29.206
4352,35.388000000000005
4374,38.923
4397,38.296
4420,38.835
4443,56.245
4467,56.006
4491,55.527
4515,32.837
4538,34.287
4561,60.4
4585,50.863
4606,31.67
4628,50.63
4651,41.357
4675,50.318
4699,57.282
4722,43.17
4745,50.986
4768,56.547
4791,25.018
4813,42.609
4836,32.944
4857,46.81099999999999
4879,51.159
4902,33.356
4925,34.46
4946,36.167
4969,62.983
4992,21.964
5015,48.886
5036,61.274
5058,46.376
5079,42.892
5102,29.15
5124,41.4
5147,58.249
5170,18.912
5193,45.108
