time,actual,predict,diff
0,25.236,33.19230331,7.956303314
1,11.008,32.70624812,21.69824812
2,25.632,28.57216275,2.940162752
3,35.746,29.86278139,-5.88321861
4,41.23,31.47355544,-9.756444562
5,17.559,32.99086958,15.43186958
6,35.696,30.736341,-4.959659004
7,20.43,32.04146569,11.61146569
8,43.679,30.85861253,-12.82038747
9,9.56,32.94413177,23.38413177
10,14.113,28.01622688,13.90322688
11,34.901,25.63354964,-9.26745036
12,45.428,29.07422965,-16.35377035
13,36.808,31.79767348,-5.01032652
14,37.094,32.4074744,-4.686525597
15,38.757,32.97153603,-5.785463969
16,11.514,33.57196895,22.05796895
17,48.432,29.28023535,-19.15176465
18,39.173,32.63589963,-6.537100372
19,30.202,33.18957507,2.987575075
20,23.274,33.05019111,9.776191108
21,18.106,32.49847732,14.39247732
22,45.591,30.56041277,-15.03058723
23,26.003,33.06003872,7.057038717
24,13.137,32.56801206,19.43101206
25,27.204,28.93107568,1.72707568
26,39.462,30.08383172,-9.378168282
27,14.411,31.89007983,17.47907983
28,41.478,28.62410938,-12.85389062
29,17.756,31.30563109,13.54963109
30,38.523,29.31889458,-9.204105415
31,22.816,31.39852098,8.582520979
32,42.033,30.96061882,-11.07238118
33,26.278,32.50136674,6.223366739
34,23.585,32.12752318,8.542523184
35,46.188,31.6550227,-14.5329773
36,21.504,33.51432211,12.01032211
37,39.866,32.23941247,-7.626587532
38,20.111,33.16119981,13.05019981
39,41.755,31.62503172,-10.12996828
40,33.275,33.05225105,-0.222748953
41,46.72,33.0365106,-13.6834894
42,39.22,34.53383075,-4.686169249
43,38.131,34.62758943,-3.503410573
44,15.762,34.72374219,18.96174219
45,30.303,31.94122057,1.638220568
46,22.722,32.51194948,9.789949479
47,48.093,32.272914,-15.820086
48,42.933,34.17405689,-8.758943106
49,20.008,34.81523258,14.80723258
50,22.334,33.39041127,11.05641127
51,15.879,32.80652469,16.92752469
52,29.221,30.15377137,0.932771366
53,28.821,31.08331099,2.262310995
54,46.351,31.57387919,-14.77712081
55,28.707,33.65271935,4.945719345
56,42.036,33.22380387,-8.812196129
57,34.326,34.15466831,-0.171331692
58,29.782,34.06238776,4.280387756
59,22.446,33.76326023,11.31726023
60,38.171,32.92831662,-5.242683377
61,46.969,33.67513494,-13.29386506
62,22.822,35.12424702,12.30224702
63,20.893,33.99105254,13.09805254
64,41.03,32.76742123,-8.262578768
65,18.738,34.06922015,15.33122015
66,30.756,32.00536172,1.249361723
67,49.431,32.37537238,-17.05562762
68,38.357,34.61180573,-3.745194267
69,24.754,34.61850054,9.864500535
70,26.285,33.87199278,7.58699278
71,14.026,33.29204132,19.26604132
72,8.269,29.97317682,21.70417682
73,46.605,24.91860927,-21.68639073
74,49.836,30.43685181,-19.39914819
75,38.398,33.03531552,-5.362684482
76,15.747,33.42241502,17.67541502
77,19.692,30.67783322,10.98583322
78,26.982,29.97924657,2.997246569
79,32.008,30.72059268,-1.287407317
80,36.748,31.65707478,-5.090925222
81,28.084,32.54606034,4.46206034
82,43.348,32.38717378,-10.96082622
83,39.77,33.82903283,-5.94096717
84,16.397,34.12905666,17.73205666
85,25.018,31.39990869,6.381908686
86,43.585,31.49367129,-12.09132871
87,28.139,33.36147777,5.222477774
88,51.823,32.93234215,-18.89065785
89,28.182,35.13424008,6.952240082
90,19.831,34.25428051,14.42328051
91,17.76,32.72184705,14.96184705
92,25.636,30.71455832,5.07855832
93,16.853,31.19526318,14.34226318
94,33.023,29.0139725,-4.009027498
95,25.544,30.7452294,5.201229397
96,30.381,30.86922672,0.48822672
97,36.477,31.3789319,-5.098068097
98,14.837,32.29916249,17.46216249
99,17.197,28.98538888,11.78838888
100,38.796,27.30002853,-11.49597147
101,43.728,30.18537413,-13.54262587
102,19.027,32.14060222,13.11360222
103,73.432,30.20250622,-43.22949378
104,48.99,34.77662837,-14.21337163
105,26.537,35.6300053,9.093005296
106,17.528,35.26706684,17.73906684
107,19.199,33.4988647,14.2998647
108,28.847,32.41569057,3.568690572
109,18.325,32.8425579,14.5175579
110,10.292,31.19503517,20.90303517
111,15.386,26.78654548,11.40054548
112,4.858,25.19744797,20.33944797
113,5.352,19.1669096,13.8149096
114,41.957,14.67321352,-27.28378648
115,29.179,25.35376746,-3.825232538
116,32.687,27.56027274,-5.126727264
117,31.367,29.51670377,-1.850296231
118,5.38,30.56393904,25.18393904
119,39.032,24.44008229,-14.59191771
120,26.718,28.70270942,1.984709423
121,29.047,29.50978882,0.462788821
122,32.994,30.3330411,-2.660958901
123,104.398,31.18544702,-73.21255298
124,74.644,32.62496701,-42.01903299
125,34.352,32.05744201,-2.294557986
126,60.652,35.68957842,-24.96242158
127,22.472,36.97390323,14.50190323
128,19.926,39.54677496,19.62077496
129,30.657,39.69066013,9.033660125
130,48.908,39.66486764,-9.243132356
131,40.308,40.75494493,0.446944927
132,39.893,40.56829244,0.675292435
133,23.722,40.4180191,16.6960191
134,34.34,39.54783637,5.207836375
135,48.151,39.31387605,-8.837123953
136,45.582,40.19774321,-5.38425679
137,57.127,40.32093857,-16.80606143
138,21.977,41.27182845,19.29482845
139,24.611,39.87318095,15.26218095
140,28.416,38.81435262,10.39835262
141,32.155,38.0379561,5.882956096
142,32.068,37.75614936,5.68814936
143,53.332,37.50974291,-15.82225709
144,19.668,39.50072903,19.83272903
145,27.069,38.10083927,11.03183927
146,32.208,37.29479771,5.086797707
147,24.814,37.10655702,12.29255702
148,40.934,36.40643327,-4.527566728
149,42.593,37.38269499,-5.210305008
150,51.016,38.01480144,-13.00119856
151,24.828,39.21862745,14.39062745
152,31.095,37.86881702,6.773817018
153,22.653,37.27830247,14.62530247
154,40.856,36.3432356,-4.512764399
155,45.036,37.2420098,-7.793990196
156,37.525,38.12267699,0.597676986
157,34.264,37.8435867,3.579586696
158,14.603,37.45566165,22.85266165
159,27.46,35.08623249,7.626232495
160,40.782,35.06206752,-5.719932477
161,21.965,36.34483559,14.37983559
162,42.237,35.35171697,-6.885283034
163,28.065,36.53276179,8.467761786
164,48.294,35.83388029,-12.46011971
165,36.828,37.47009695,0.642096947
166,27.501,37.14097058,9.63997058
167,36.987,36.34246902,-0.64453098
168,32.199,36.65079944,4.451799438
169,33.792,36.36960203,2.577602034
170,63.868,36.35887384,-27.50912616
171,34.251,39.1616607,4.910660704
172,27.785,38.46594774,10.68094774
173,8.4,37.65433569,29.25433569
174,31.072,33.34804886,2.276048858
175,50.773,34.09470993,-16.67829007
176,32.851,37.01010155,4.159101552
177,37.266,36.6687099,-0.5972901
178,39.641,36.97826685,-2.662733154
179,34.469,37.30351314,2.834513136
180,17.289,37.04668513,19.75768513
181,47.35,35.25890177,-12.09109823
182,45.311,37.27904153,-8.031958468
183,46.538,38.01230907,-8.525690931
