time,mse,rmse,mae
0,219.3572226,14.8107131,11.88195541
1,219.9365325,14.83025733,11.88426682
2,220.8961698,14.86257615,11.88578905
3,221.4725305,14.88195318,11.90885241
4,216.5921331,14.71706945,11.75189194
5,216.1320614,14.70143059,11.77932332
6,227.1919762,15.07288878,12.09350786
7,220.3283156,14.84346037,11.84932356
8,218.103917,14.76834172,11.81966779
9,220.694673,14.85579594,11.88158357
10,219.6848634,14.82176991,11.86831554
11,215.8905176,14.69321332,11.76474176
12,217.1874454,14.7372808,11.75214957
13,220.2022822,14.83921434,11.8678624
14,225.1278864,15.00426228,12.03612872
15,220.7864075,14.85888312,11.90130686
16,218.3943295,14.77817071,11.78898378
17,219.0220914,14.79939497,11.8310069
18,216.1489819,14.70200605,11.78968952
19,219.133092,14.80314466,11.82107632
20,214.8061805,14.65626762,11.68898088
21,217.4931594,14.74764928,11.77563906
22,218.9646614,14.79745456,11.87485855
23,219.2732819,14.80787905,11.84234154
24,221.0478552,14.8676782,11.92924593
25,217.1529514,14.73611046,11.77225932
26,221.2417958,14.874199,11.82872033
27,222.5330636,14.91754214,11.91627741
28,217.5058362,14.74807907,11.8087185
29,216.5463039,14.71551236,11.76232542
