time,train,val
0,0.126158774,0.095498286
1,0.102681935,0.091215946
2,0.09765286,0.089339823
3,0.096271291,0.089471959
4,0.095117055,0.089642316
5,0.094207294,0.089652896
6,0.092556618,0.090327248
7,0.092772216,0.089634441
8,0.094317682,0.088766813
9,0.094260111,0.088844039
10,0.094723217,0.089586578
11,0.095200993,0.090155281
12,0.094043158,0.090599246
13,0.094431877,0.090990357
14,0.093398191,0.091024607
15,0.092894219,0.089339547
16,0.091423482,0.089023411
17,0.092026487,0.090075225
18,0.091448665,0.089243002
19,0.090248123,0.088740148
20,0.089939572,0.088847347
21,0.08977896,0.088287115
22,0.089267939,0.087978289
23,0.088402592,0.088682771
24,0.091094792,0.089745328
25,0.09089417,0.090941623
26,0.090575159,0.090673342
27,0.088763446,0.089980386
28,0.088605456,0.090305239
29,0.088298783,0.08949697
30,0.088516109,0.089340538
31,0.088442035,0.090536453
32,0.088811554,0.090056583
33,0.087937936,0.091011159
34,0.087231807,0.090192258
35,0.087870292,0.089271314
36,0.086939298,0.090627126
37,0.087550968,0.090487197
38,0.086618133,0.089647628
39,0.086032808,0.090092115
40,0.08623419,0.090026632
41,0.086289369,0.091267817
42,0.086208403,0.090648189
43,0.086694598,0.090380602
44,0.086265728,0.091694027
45,0.085944951,0.090251528
46,0.085722774,0.090315022
47,0.084720254,0.091862962
48,0.085937545,0.090425767
49,0.085999586,0.091078177
50,0.08534392,0.090508416
51,0.08497598,0.090364702
52,0.085308075,0.090877384
53,0.085302852,0.091103524
54,0.085279353,0.091097742
55,0.084387548,0.090420336
56,0.084322482,0.09054891
57,0.084586591,0.091091529
58,0.084246144,0.089964591
59,0.084335677,0.089833066
60,0.083215095,0.089512333
61,0.083692774,0.090689622
62,0.084441334,0.091118783
63,0.083428673,0.090709314
64,0.083246894,0.091405682
65,0.083557263,0.090520218
66,0.082937211,0.090985626
67,0.083372973,0.091271922
68,0.082940839,0.091195881
69,0.083084576,0.090559065
70,0.082984343,0.092214435
71,0.08300209,0.091202483
72,0.082811028,0.091994822
73,0.083141088,0.091102161
74,0.081983462,0.090542495
75,0.080910988,0.092997096
76,0.08245381,0.090578809
77,0.081268325,0.091318287
78,0.081883714,0.091132388
79,0.081363074,0.090925336
80,0.082046635,0.091287047
81,0.081735842,0.090252057
82,0.081372261,0.091473565
83,0.081539497,0.092393436
84,0.081500597,0.091816902
85,0.080625571,0.091050513
86,0.080371462,0.091175698
87,0.080825105,0.091241881
88,0.080821216,0.090976782
89,0.080517083,0.091924615
90,0.08066681,0.090764523
91,0.080192812,0.090853766
92,0.080635794,0.090672329
93,0.0805237,0.091501445
94,0.080961257,0.091923721
95,0.080571808,0.091197439
96,0.080301918,0.091782458
97,0.079346955,0.09108109
98,0.079092808,0.092975341
99,0.079970442,0.093345173
