mse,rmse,mae,model
219.3572226,14.8107131,11.88195541,LSTM
219.9365325,14.83025733,11.88426682,LSTM
220.8961698,14.86257615,11.88578905,LSTM
221.4725305,14.88195318,11.90885241,LSTM
216.5921331,14.71706945,11.75189194,LSTM
216.1320614,14.70143059,11.77932332,LSTM
227.1919762,15.07288878,12.09350786,LSTM
220.3283156,14.84346037,11.84932356,LSTM
218.103917,14.76834172,11.81966779,LSTM
220.694673,14.85579594,11.88158357,LSTM
219.6848634,14.82176991,11.86831554,LSTM
215.8905176,14.69321332,11.76474176,LSTM
217.1874454,14.7372808,11.75214957,LSTM
220.2022822,14.83921434,11.8678624,LSTM
225.1278864,15.00426228,12.03612872,LSTM
220.7864075,14.85888312,11.90130686,LSTM
218.3943295,14.77817071,11.78898378,LSTM
219.0220914,14.79939497,11.8310069,LSTM
216.1489819,14.70200605,11.78968952,LSTM
219.133092,14.80314466,11.82107632,LSTM
214.8061805,14.65626762,11.68898088,LSTM
217.4931594,14.74764928,11.77563906,LSTM
218.9646614,14.79745456,11.87485855,LSTM
219.2732819,14.80787905,11.84234154,LSTM
221.0478552,14.8676782,11.92924593,LSTM
217.1529514,14.73611046,11.77225932,LSTM
221.2417958,14.874199,11.82872033,LSTM
222.5330636,14.91754214,11.91627741,LSTM
217.5058362,14.74807907,11.8087185,LSTM
216.5463039,14.71551236,11.76232542,LSTM
247.4090088,15.72924057,12.52054801,CNN-LSTM
251.773457,15.86737083,12.60294374,CNN-LSTM
255.2324251,15.97599528,12.69227729,CNN-LSTM
229.0651495,15.1348984,12.09516903,CNN-LSTM
264.2435802,16.25557074,12.95790159,CNN-LSTM
250.1635415,15.81655909,12.60081445,CNN-LSTM
260.496546,16.13990539,12.82059356,CNN-LSTM
250.187228,15.81730786,12.58521213,CNN-LSTM
246.3341074,15.69503448,12.4759171,CNN-LSTM
260.993576,16.1552956,12.8092749,CNN-LSTM
252.3938396,15.88690781,12.64522486,CNN-LSTM
254.3486153,15.94831073,12.69651213,CNN-LSTM
241.9715213,15.55543382,12.39994326,CNN-LSTM
242.7887245,15.58167913,12.4187168,CNN-LSTM
253.491162,15.92140578,12.66204637,CNN-LSTM
234.5338187,15.31449701,12.24925141,CNN-LSTM
260.5382722,16.14119798,12.7877588,CNN-LSTM
251.2779306,15.8517485,12.60925666,CNN-LSTM
274.3394661,16.56319613,13.12749769,CNN-LSTM
241.0454145,15.52563733,12.41201052,CNN-LSTM
251.4935052,15.85854675,12.6034794,CNN-LSTM
273.2501286,16.53027915,13.1113405,CNN-LSTM
233.008978,15.2646316,12.17153074,CNN-LSTM
257.3851601,16.04322786,12.75161033,CNN-LSTM
264.6562412,16.2682587,12.89366816,CNN-LSTM
220.7498129,14.85765166,11.83571233,CNN-LSTM
247.9004807,15.74485569,12.53902786,CNN-LSTM
227.378248,15.07906655,12.06584879,CNN-LSTM
239.6093077,15.47931871,12.35907334,CNN-LSTM
228.9937679,15.13254003,12.08250999,CNN-LSTM
242.62617,15.5764621,12.2489962,MLP
233.743421,15.2886697,12.1779193,MLP
240.480389,15.5074301,12.157282,MLP
231.392566,15.2115932,12.0944835,MLP
234.419285,15.3107572,12.1325622,MLP
235.655604,15.3510783,12.1329721,MLP
234.094449,15.3001454,12.1600032,MLP
238.79068,15.4528535,12.2189119,MLP
228.146311,15.1045129,11.9833181,MLP
226.610867,15.0535998,11.9416224,MLP
233.68411,15.2867299,12.1250306,MLP
234.453394,15.311871,12.1546137,MLP
233.552745,15.2824326,12.1190731,MLP
235.64992,15.3508931,12.2029942,MLP
236.522841,15.3792991,12.2819041,MLP
228.025154,15.1005018,11.9393029,MLP
235.837716,15.3570087,12.2014667,MLP
232.358883,15.2433226,12.0732646,MLP
233.158682,15.2695344,12.1558201,MLP
238.135315,15.4316336,12.2234393,MLP
244.565885,15.6386024,12.4366723,MLP
229.186103,15.1388937,11.9991135,MLP
232.143603,15.2362595,12.0098186,MLP
234.783498,15.3226466,12.1104088,MLP
235.348511,15.3410727,12.0701652,MLP
236.274981,15.3712388,12.2308121,MLP
227.609341,15.0867273,11.9916056,MLP
228.323945,15.110392,11.9575341,MLP
241.159213,15.5293018,12.4132756,MLP
239.28299,15.4687747,12.3345447,MLP
231.201518,15.2053122,11.9542199,CNN
227.765587,15.0919047,11.7973398,CNN
232.52428,15.2487468,12.0103688,CNN
234.760784,15.3219053,12.0428419,CNN
224.142839,14.9714007,11.709313,CNN
232.677937,15.2537843,11.9496015,CNN
229.165752,15.1382216,11.8783533,CNN
231.781751,15.2243802,11.9251964,CNN
235.149603,15.3345885,12.0372324,CNN
227.618945,15.0870456,11.8705563,CNN
231.342018,15.2099316,11.9331164,CNN
230.478674,15.1815241,11.9098896,CNN
225.066035,15.002201,11.7674194,CNN
226.349343,15.0449109,11.773387,CNN
222.527455,14.9173542,11.7057572,CNN
233.460942,15.2794287,11.9403878,CNN
228.41055,15.1132574,11.7756201,CNN
236.470879,15.3776097,12.1100761,CNN
231.621468,15.2191152,11.9629161,CNN
235.43448,15.3438744,12.1129289,CNN
233.72563,15.2880879,12.0828924,CNN
234.809291,15.3234882,12.1061772,CNN
236.64411,15.3832412,12.177852,CNN
226.344977,15.0447658,11.8691967,CNN
227.967377,15.0985886,11.7987161,CNN
225.685018,15.0228166,11.7744057,CNN
234.661659,15.3186703,12.1980153,CNN
236.849763,15.3899241,11.9601279,CNN
234.350048,15.3084959,12.0523965,CNN
227.931114,15.0973877,11.7969152,CNN
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
227.869194,15.0953368,12.04002,Mean
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
235.672148,15.3516171,12.0609486,Median
