Start Date,Station Name,Total Energy (kWh),Total Charging Duration (1D),Event Count
2020-09-06,PALO ALTO CA / BRYANT # 1,5.355,0.06962962962962964,1
2020-09-07,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-08,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-09,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-10,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-11,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-12,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-13,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-14,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-15,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-16,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-17,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-18,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-19,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-20,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-21,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-22,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-23,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-24,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-25,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-26,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-27,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-28,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-29,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-09-30,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-01,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-02,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-03,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-04,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-05,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-06,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-07,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-08,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-09,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-10,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-11,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-12,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-13,PALO ALTO CA / BRYANT # 1,4.361,0.05596064814814814,1
2020-10-14,PALO ALTO CA / BRYANT # 1,42.064,0.30015046296296294,1
2020-10-15,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-16,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-17,PALO ALTO CA / BRYANT # 1,16.092,0.11717592592592593,2
2020-10-18,PALO ALTO CA / BRYANT # 1,2.83,0.01951388888888889,1
2020-10-19,PALO ALTO CA / BRYANT # 1,1.867,0.01292824074074074,1
2020-10-20,PALO ALTO CA / BRYANT # 1,6.946,0.04936342592592593,1
2020-10-21,PALO ALTO CA / BRYANT # 1,13.314,0.12342592592592593,2
2020-10-22,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-23,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-24,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-25,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-26,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-27,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-28,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-29,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-30,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-10-31,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-01,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-02,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-03,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-04,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-05,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-06,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-07,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-08,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-09,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-10,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-11,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-12,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-13,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-14,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
2020-11-15,PALO ALTO CA / BRYANT # 1,0.0,0.0,0
