time,actual,predict,diff
0,25.236,28.76228571,3.526285714
1,11.008,27.55442857,16.54642857
2,25.632,27.46585714,1.833857143
3,35.746,27.107,-8.639
4,41.23,29.678,-11.552
5,17.559,31.989,14.43
6,35.696,31.85242857,-3.843571429
7,20.43,27.44385714,7.013857143
8,43.679,26.75728571,-16.92171429
9,9.56,31.42457143,21.86457143
10,14.113,29.12857143,15.01557143
11,34.901,26.03814286,-8.862857143
12,45.428,25.134,-20.294
13,36.808,29.11528571,-7.692714286
14,37.094,29.27414286,-7.819857143
15,38.757,31.65471429,-7.102285714
16,11.514,30.95157143,19.43757143
17,48.432,31.23071429,-17.20128571
18,39.173,36.13342857,-3.039571429
19,30.202,36.74371429,6.541714286
20,23.274,34.56857143,11.29457143
21,18.106,32.63514286,14.52914286
22,45.591,29.92257143,-15.66842857
23,26.003,30.89885714,4.895857143
24,13.137,32.96871429,19.83171429
25,27.204,27.92657143,0.722571429
26,39.462,26.21671429,-13.24528571
27,14.411,27.53957143,13.12857143
28,41.478,26.27342857,-15.20457143
29,17.756,29.61228571,11.85628571
30,38.523,25.63585714,-12.88714286
31,22.816,27.42442857,4.608428571
32,42.033,28.80714286,-13.22585714
33,26.278,30.92557143,4.647571429
34,23.585,29.04214286,5.457142857
35,46.188,30.35271429,-15.83528571
36,21.504,31.02557143,9.521571429
37,39.866,31.561,-8.305
38,20.111,31.75285714,11.64185714
39,41.755,31.36642857,-10.38857143
40,33.275,31.32671429,-1.948285714
41,46.72,32.32628571,-14.39371429
42,39.22,35.63128571,-3.588714286
43,38.131,34.63585714,-3.495142857
44,15.762,37.01114286,21.24914286
45,30.303,33.56771429,3.264714286
46,22.722,35.02371429,12.30171429
47,48.093,32.30471429,-15.78828571
48,42.933,34.42157143,-8.511428571
49,20.008,33.88057143,13.87257143
50,22.334,31.136,8.802
51,15.879,28.87928571,13.00028571
52,29.221,28.896,-0.325
53,28.821,28.74142857,-0.079571429
54,46.351,29.61271429,-16.73828571
55,28.707,29.36385714,0.656857143
56,42.036,27.33157143,-14.70442857
57,34.326,30.47842857,-3.847571429
58,29.782,32.19157143,2.409571429
59,22.446,34.17771429,11.73171429
60,38.171,33.20985714,-4.961142857
61,46.969,34.54557143,-12.42342857
62,22.822,34.63385714,11.81185714
63,20.893,33.79314286,12.90014286
64,41.03,30.77271429,-10.25728571
65,18.738,31.73042857,12.99242857
66,30.756,30.15271429,-0.603285714
67,49.431,31.33985714,-18.09114286
68,38.357,32.94842857,-5.408571429
69,24.754,31.71814286,6.964142857
70,26.285,31.99414286,5.709142857
71,14.026,32.76442857,18.73842857
72,8.269,28.90671429,20.63771429
73,46.605,27.41114286,-19.19385714
74,49.836,29.67528571,-20.16071429
75,38.398,29.73314286,-8.664857143
76,15.747,29.739,13.992
77,19.692,28.45228571,8.760285714
78,26.982,27.51042857,0.528428571
79,32.008,29.36128571,-2.646714286
80,36.748,32.75257143,-3.995428571
81,28.084,31.34442857,3.260428571
82,43.348,28.237,-15.111
83,39.77,28.94414286,-10.82585714
84,16.397,32.376,15.979
85,25.018,31.90528571,6.887285714
86,43.585,31.62471429,-11.96028571
87,28.139,33.27857143,5.139571429
88,51.823,32.04871429,-19.77428571
89,28.182,35.44,7.258
90,19.831,33.27342857,13.44242857
91,17.76,30.425,12.665
92,25.636,30.61971429,4.983714286
93,16.853,30.708,13.855
94,33.023,26.88914286,-6.133857143
95,25.544,27.58685714,2.042857143
96,30.381,23.83271429,-6.548285714
97,36.477,24.14685714,-12.33014286
98,14.837,26.52485714,11.68785714
99,17.197,26.10728571,8.910285714
100,38.796,24.90171429,-13.89428571
101,43.728,28.03642857,-15.69157143
102,19.027,29.56571429,10.53871429
103,73.432,28.63471429,-44.79728571
104,48.99,34.78485714,-14.20514286
105,26.537,36.57242857,10.03542857
106,17.528,38.24385714,20.71585714
107,19.199,38.29114286,19.09214286
108,28.847,35.49157143,6.644571429
109,18.325,33.36571429,15.04071429
110,10.292,33.26542857,22.97342857
111,15.386,24.24542857,8.859428571
112,4.858,19.44485714,14.58685714
113,5.352,16.34785714,10.99585714
114,41.957,14.60842857,-27.34857143
115,29.179,17.85957143,-11.31942857
116,32.687,17.907,-14.78
117,31.367,19.95871429,-11.40828571
118,5.38,22.96942857,17.58942857
119,39.032,21.54,-17.492
120,26.718,26.422,-0.296
121,29.047,29.47428571,0.427285714
122,32.994,27.63,-5.364
123,104.398,28.175,-76.223
124,74.644,38.41942857,-36.22457143
125,34.352,44.60185714,10.24985714
126,60.652,48.74071429,-11.91128571
127,22.472,51.82928571,29.35728571
128,19.926,51.22271429,31.29671429
129,30.657,49.91971429,19.26271429
130,48.908,49.58585714,0.677857143
131,40.308,41.65871429,1.350714286
132,39.893,36.75357143,-3.139428571
133,23.722,37.54514286,13.82314286
134,34.34,32.26942857,-2.070571429
135,48.151,33.96485714,-14.18614286
136,45.582,37.997,-7.585
137,57.127,40.12914286,-16.99785714
138,21.977,41.30328571,19.32628571
139,24.611,38.68457143,14.07357143
140,28.416,36.50142857,8.085428571
141,32.155,37.172,5.017
142,32.068,36.85985714,4.791857143
143,53.332,34.56228571,-18.76971429
144,19.668,35.66942857,16.00142857
145,27.069,30.31814286,3.249142857
146,32.208,31.04557143,-1.162428571
147,24.814,32.13085714,7.316857143
148,40.934,31.61628571,-9.317714286
149,42.593,32.87042857,-9.722571429
150,51.016,34.374,-16.642
151,24.828,34.04314286,9.215142857
152,31.095,34.78028571,3.685285714
153,22.653,35.35542857,12.70242857
154,40.856,33.99042857,-6.865571429
155,45.036,36.28214286,-8.753857143
156,37.525,36.86814286,-0.656857143
157,34.264,36.14414286,1.880142857
158,14.603,33.751,19.148
159,27.46,32.29028571,4.830285714
160,40.782,31.771,-9.011
161,21.965,34.36085714,12.39585714
162,42.237,31.66214286,-10.57485714
163,28.065,31.26228571,3.197285714
164,48.294,29.91085714,-18.38314286
165,36.828,31.91514286,-4.912857143
166,27.501,35.09014286,7.589142857
167,36.987,35.096,-1.891
168,32.199,34.55385714,2.354857143
169,33.792,36.01585714,2.223857143
170,63.868,34.80942857,-29.05857143
171,34.251,39.92414286,5.673142857
172,27.785,37.918,10.133
173,8.4,36.62614286,28.22614286
174,31.072,33.89742857,2.825428571
175,50.773,33.05242857,-17.72057143
176,32.851,35.70585714,2.854857143
177,37.266,35.57142857,-1.694571429
178,39.641,31.77114286,-7.869857143
179,34.469,32.54114286,-1.927857143
180,17.289,33.496,16.207
181,47.35,34.76585714,-12.58414286
182,45.311,37.09128571,-8.219714286
183,46.538,36.311,-10.227
184,117.668,38.26628571,-79.40171429
185,23.584,49.75228571,26.16828571
186,28.907,47.45842857,18.55142857
187,16.552,46.66385714,30.11185714
188,30.867,46.55857143,15.69157143
189,44.848,44.20385714,-0.644142857
190,35.327,44.13771429,8.810714286
191,52.347,42.53614286,-9.810857143
192,36.373,33.20457143,-3.168428571
193,21.758,35.03157143,13.27357143
194,29.947,34.01028571,4.063285714
195,67.507,35.92385714,-31.58314286
196,34.512,41.15814286,6.646142857
197,33.542,39.68157143,6.139571429
198,50.915,39.42657143,-11.48842857
199,21.614,39.222,17.608
200,36.469,37.11357143,0.644571429
201,25.285,39.21514286,13.93014286
202,45.311,38.54914286,-6.761857143
203,47.531,35.37828571,-12.15271429
204,36.122,37.23814286,1.116142857
205,50.034,37.60671429,-12.42728571
206,44.595,37.48085714,-7.114142857
207,20.134,40.76385714,20.62985714
208,15.618,38.43028571,22.81228571
209,27.622,37.04928571,9.427285714
210,37.06,34.52228571,-2.537714286
211,27.059,33.02642857,5.967428571
212,32.885,31.73171429,-1.153285714
213,29.887,29.28185714,-0.605142857
214,14.784,27.18071429,12.39671429
215,30.985,26.41642857,-4.568571429
216,42.179,28.61171429,-13.56728571
217,38.013,30.69128571,-7.321714286
218,36.074,30.82742857,-5.246571429
219,25.281,32.11528571,6.834285714
220,17.874,31.029,13.155
221,10.758,29.31285714,18.55485714
222,30.009,28.73771429,-1.271285714
223,42.029,28.59828571,-13.43071429
224,35.93,28.57685714,-7.353142857
225,36.38,28.27928571,-8.100714286
226,35.317,28.323,-6.994
227,20.863,29.75671429,8.893714286
228,25.651,30.18371429,4.532714286
229,24.874,32.31128571,7.437285714
230,34.465,31.57771429,-2.887285714
231,33.301,30.49714286,-2.803857143
232,28.034,30.12157143,2.087571429
233,37.359,28.92928571,-8.429714286
234,45.066,29.221,-15.845
235,14.719,32.67857143,17.95957143
236,44.708,31.11685714,-13.59114286
237,22.454,33.95028571,11.49628571
238,46.82,32.23442857,-14.58557143
239,37.096,34.16571429,-2.930285714
240,40.756,35.46028571,-5.295714286
241,49.201,35.94557143,-13.25542857
242,35.091,36.53628571,1.445285714
243,47.419,39.44657143,-7.972428571
244,21.547,39.83385714,18.28685714
245,41.961,39.70428571,-2.256714286
246,54.301,39.01014286,-15.29085714
247,41.538,41.468,-0.07
248,31.271,41.57971429,10.30871429
249,16.956,39.01828571,22.06228571
250,59.393,36.42757143,-22.96542857
251,58.522,38.13814286,-20.38385714
252,47.922,43.42028571,-4.501714286
253,48.151,44.27185714,-3.879142857
254,33.862,43.39328571,9.531285714
255,23.166,42.29671429,19.13071429
256,6.964,41.13885714,34.17485714
257,3.003,39.71142857,36.70842857
258,58.057,31.65571429,-26.40128571
259,23.341,31.58928571,8.248285714
260,36.621,28.07771429,-8.543285714
261,53.366,26.43057143,-26.93542857
262,10.513,29.21685714,18.70385714
263,30.009,27.40928571,-2.599714286
264,76.303,30.70142857,-45.60157143
265,24.847,41.17285714,16.32585714
266,30.091,36.42857143,6.337571429
267,52.659,37.39285714,-15.26614286
268,35.397,39.684,4.287
269,14.612,37.117,22.505
270,19.049,37.70257143,18.65357143
271,28.055,36.13685714,8.081857143
272,33.051,29.24428571,-3.806714286
273,36.138,30.41628571,-5.721714286
274,9.885,31.28014286,21.39514286
275,32.468,25.16957143,-7.298428571
276,18.105,24.75114286,6.646142857
277,34.29,25.25014286,-9.039857143
278,48.774,27.42742857,-21.34657143
279,40.965,30.38728571,-10.57771429
280,42.329,31.51785714,-10.81114286
281,24.684,32.40228571,7.718285714
282,19.295,34.51642857,15.22142857
283,16.339,32.63457143,16.29557143
284,20.27,32.38228571,12.11228571
285,29.392,30.37942857,0.987428571
286,23.49,27.61057143,4.120571429
287,48.538,25.11414286,-23.42385714
288,21.696,26.00114286,4.305142857
289,1.977,25.57428571,23.59728571
290,31.961,23.10028571,-8.860714286
291,19.44,25.332,5.892
292,40.805,25.21342857,-15.59157143
293,33.271,26.84385714,-6.427142857
294,36.241,28.24114286,-7.999857143
295,7.746,26.48442857,18.73842857
296,51.385,24.49157143,-26.89342857
297,19.353,31.54985714,12.19685714
298,31.692,29.74871429,-1.943285714
299,9.035,31.499,22.464
300,34.069,26.96042857,-7.108571429
301,42.272,27.07442857,-15.19757143
302,38.766,27.936,-10.83
303,16.256,32.36742857,16.11142857
304,35.98,27.349,-8.631
305,25.81,29.72428571,3.914285714
306,35.244,28.884,-6.36
307,37.085,32.62814286,-4.456857143
308,62.112,33.059,-29.053
309,42.231,35.89328571,-6.337714286
310,15.526,36.38828571,20.86228571
311,25.814,36.284,10.47
312,37.419,34.83171429,-2.587285714
313,49.273,36.49014286,-12.78285714
314,55.42,38.49428571,-16.92571429
315,22.437,41.11357143,18.67657143
316,39.003,35.44571429,-3.557285714
317,43.501,34.98457143,-8.516428571
318,7.168,38.981,31.813
319,39.722,36.31728571,-3.404714286
320,29.323,36.64628571,7.323285714
321,33.929,33.79628571,-0.132714286
322,53.966,30.72614286,-23.23985714
