time,actual,predict,diff
0,25.236,25.053,-0.183
1,11.008,25.053,14.045
2,25.632,25.053,-0.579
3,35.746,25.053,-10.693
4,41.23,25.236,-15.994
5,17.559,25.632,8.073
6,35.696,25.632,-10.064
7,20.43,25.632,5.202
8,43.679,25.632,-18.047
9,9.56,35.696,26.136
10,14.113,35.696,21.583
11,34.901,20.43,-14.471
12,45.428,20.43,-24.998
13,36.808,34.901,-1.907
14,37.094,34.901,-2.193
15,38.757,36.808,-1.949
16,11.514,36.808,25.294
17,48.432,36.808,-11.624
18,39.173,37.094,-2.079
19,30.202,38.757,8.555
20,23.274,37.094,13.82
21,18.106,37.094,18.988
22,45.591,30.202,-15.389
23,26.003,30.202,4.199
24,13.137,30.202,17.065
25,27.204,26.003,-1.201
26,39.462,26.003,-13.459
27,14.411,26.003,11.592
28,41.478,26.003,-15.475
29,17.756,27.204,9.448
30,38.523,26.003,-12.52
31,22.816,27.204,4.388
32,42.033,27.204,-14.829
33,26.278,38.523,12.245
34,23.585,26.278,2.693
35,46.188,26.278,-19.91
36,21.504,26.278,4.774
37,39.866,26.278,-13.588
38,20.111,26.278,6.167
39,41.755,26.278,-15.477
40,33.275,26.278,-6.997
41,46.72,33.275,-13.445
42,39.22,39.866,0.646
43,38.131,39.22,1.089
44,15.762,39.22,23.458
45,30.303,38.131,7.828
46,22.722,38.131,15.409
47,48.093,33.275,-14.818
48,42.933,38.131,-4.802
49,20.008,38.131,18.123
50,22.334,30.303,7.969
51,15.879,22.722,6.843
52,29.221,22.722,-6.499
53,28.821,22.722,-6.099
54,46.351,28.821,-17.53
55,28.707,28.821,0.114
56,42.036,28.707,-13.329
57,34.326,28.821,-5.505
58,29.782,29.221,-0.561
59,22.446,29.782,7.336
60,38.171,29.782,-8.389
61,46.969,34.326,-12.643
62,22.822,34.326,11.504
63,20.893,34.326,13.433
64,41.03,29.782,-11.248
65,18.738,29.782,11.044
66,30.756,22.822,-7.934
67,49.431,30.756,-18.675
68,38.357,30.756,-7.601
69,24.754,30.756,6.002
70,26.285,30.756,4.471
71,14.026,30.756,16.73
72,8.269,26.285,18.016
73,46.605,26.285,-20.32
74,49.836,26.285,-23.551
75,38.398,26.285,-12.113
76,15.747,26.285,10.538
77,19.692,26.285,6.593
78,26.982,19.692,-7.29
79,32.008,26.982,-5.026
80,36.748,32.008,-4.74
81,28.084,32.008,3.924
82,43.348,28.084,-15.264
83,39.77,28.084,-11.686
84,16.397,32.008,15.611
85,25.018,32.008,6.99
86,43.585,32.008,-11.577
87,28.139,36.748,8.609
88,51.823,28.139,-23.684
89,28.182,39.77,11.588
90,19.831,28.182,8.351
91,17.76,28.139,10.379
92,25.636,28.139,2.503
93,16.853,28.139,11.286
94,33.023,25.636,-7.387
95,25.544,25.636,0.092
96,30.381,25.544,-4.837
97,36.477,25.544,-10.933
98,14.837,25.636,10.799
99,17.197,25.636,8.439
100,38.796,25.544,-13.252
101,43.728,30.381,-13.347
102,19.027,30.381,11.354
103,73.432,30.381,-43.051
104,48.99,36.477,-12.513
105,26.537,38.796,12.259
106,17.528,38.796,21.268
107,19.199,38.796,19.597
108,28.847,26.537,-2.31
109,18.325,26.537,8.212
110,10.292,26.537,16.245
111,15.386,19.199,3.813
112,4.858,18.325,13.467
113,5.352,17.528,12.176
114,41.957,15.386,-26.571
115,29.179,15.386,-13.793
116,32.687,15.386,-17.301
117,31.367,15.386,-15.981
118,5.38,29.179,23.799
119,39.032,29.179,-9.853
120,26.718,31.367,4.649
121,29.047,31.367,2.32
122,32.994,29.179,-3.815
123,104.398,31.367,-73.031
124,74.644,31.367,-43.277
125,34.352,32.994,-1.358
126,60.652,34.352,-26.3
127,22.472,34.352,11.88
128,19.926,34.352,14.426
129,30.657,34.352,3.695
130,48.908,34.352,-14.556
131,40.308,34.352,-5.956
132,39.893,34.352,-5.541
133,23.722,39.893,16.171
134,34.34,30.657,-3.683
135,48.151,34.34,-13.811
136,45.582,39.893,-5.689
137,57.127,40.308,-16.819
138,21.977,40.308,18.331
139,24.611,39.893,15.282
140,28.416,34.34,5.924
141,32.155,34.34,2.185
142,32.068,32.155,0.087
143,53.332,32.068,-21.264
144,19.668,32.068,12.4
145,27.069,28.416,1.347
146,32.208,28.416,-3.792
147,24.814,32.068,7.254
148,40.934,32.068,-8.866
149,42.593,32.068,-10.525
150,51.016,32.208,-18.808
151,24.828,32.208,7.38
152,31.095,32.208,1.113
153,22.653,32.208,9.555
154,40.856,31.095,-9.761
155,45.036,40.856,-4.18
156,37.525,40.856,3.331
157,34.264,37.525,3.261
158,14.603,34.264,19.661
159,27.46,34.264,6.804
160,40.782,34.264,-6.518
161,21.965,37.525,15.56
162,42.237,34.264,-7.973
163,28.065,34.264,6.199
164,48.294,28.065,-20.229
165,36.828,28.065,-8.763
166,27.501,36.828,9.327
167,36.987,36.828,-0.159
168,32.199,36.828,4.629
169,33.792,36.828,3.036
170,63.868,33.792,-30.076
171,34.251,36.828,2.577
172,27.785,34.251,6.466
173,8.4,33.792,25.392
174,31.072,33.792,2.72
175,50.773,32.199,-18.574
176,32.851,33.792,0.941
177,37.266,32.851,-4.415
178,39.641,32.851,-6.79
179,34.469,32.851,-1.618
180,17.289,34.469,17.18
181,47.35,34.469,-12.881
182,45.311,37.266,-8.045
183,46.538,37.266,-9.272
