time,actual,predict,diff
0,25.236,66.556,41.32
1,11.008,25.236,14.228
2,25.632,11.008,-14.624
3,35.746,25.632,-10.114
4,41.23,35.746,-5.484
5,17.559,41.23,23.671
6,35.696,17.559,-18.137
7,20.43,35.696,15.266
8,43.679,20.43,-23.249
9,9.56,43.679,34.119
10,14.113,9.56,-4.553
11,34.901,14.113,-20.788
12,45.428,34.901,-10.527
13,36.808,45.428,8.62
14,37.094,36.808,-0.286
15,38.757,37.094,-1.663
16,11.514,38.757,27.243
17,48.432,11.514,-36.918
18,39.173,48.432,9.259
19,30.202,39.173,8.971
20,23.274,30.202,6.928
21,18.106,23.274,5.168
22,45.591,18.106,-27.485
23,26.003,45.591,19.588
24,13.137,26.003,12.866
25,27.204,13.137,-14.067
26,39.462,27.204,-12.258
27,14.411,39.462,25.051
28,41.478,14.411,-27.067
29,17.756,41.478,23.722
30,38.523,17.756,-20.767
31,22.816,38.523,15.707
32,42.033,22.816,-19.217
33,26.278,42.033,15.755
34,23.585,26.278,2.693
35,46.188,23.585,-22.603
36,21.504,46.188,24.684
37,39.866,21.504,-18.362
38,20.111,39.866,19.755
39,41.755,20.111,-21.644
40,33.275,41.755,8.48
41,46.72,33.275,-13.445
42,39.22,46.72,7.5
43,38.131,39.22,1.089
44,15.762,38.131,22.369
45,30.303,15.762,-14.541
46,22.722,30.303,7.581
47,48.093,22.722,-25.371
48,42.933,48.093,5.16
49,20.008,42.933,22.925
50,22.334,20.008,-2.326
51,15.879,22.334,6.455
52,29.221,15.879,-13.342
53,28.821,29.221,0.4
54,46.351,28.821,-17.53
55,28.707,46.351,17.644
56,42.036,28.707,-13.329
57,34.326,42.036,7.71
58,29.782,34.326,4.544
59,22.446,29.782,7.336
60,38.171,22.446,-15.725
61,46.969,38.171,-8.798
62,22.822,46.969,24.147
63,20.893,22.822,1.929
64,41.03,20.893,-20.137
65,18.738,41.03,22.292
66,30.756,18.738,-12.018
67,49.431,30.756,-18.675
68,38.357,49.431,11.074
69,24.754,38.357,13.603
70,26.285,24.754,-1.531
71,14.026,26.285,12.259
72,8.269,14.026,5.757
73,46.605,8.269,-38.336
74,49.836,46.605,-3.231
75,38.398,49.836,11.438
76,15.747,38.398,22.651
77,19.692,15.747,-3.945
78,26.982,19.692,-7.29
79,32.008,26.982,-5.026
80,36.748,32.008,-4.74
81,28.084,36.748,8.664
82,43.348,28.084,-15.264
83,39.77,43.348,3.578
84,16.397,39.77,23.373
85,25.018,16.397,-8.621
86,43.585,25.018,-18.567
87,28.139,43.585,15.446
88,51.823,28.139,-23.684
89,28.182,51.823,23.641
90,19.831,28.182,8.351
91,17.76,19.831,2.071
92,25.636,17.76,-7.876
93,16.853,25.636,8.783
94,33.023,16.853,-16.17
95,25.544,33.023,7.479
96,30.381,25.544,-4.837
97,36.477,30.381,-6.096
98,14.837,36.477,21.64
99,17.197,14.837,-2.36
100,38.796,17.197,-21.599
101,43.728,38.796,-4.932
102,19.027,43.728,24.701
103,73.432,19.027,-54.405
104,48.99,73.432,24.442
105,26.537,48.99,22.453
106,17.528,26.537,9.009
107,19.199,17.528,-1.671
108,28.847,19.199,-9.648
109,18.325,28.847,10.522
110,10.292,18.325,8.033
111,15.386,10.292,-5.094
112,4.858,15.386,10.528
113,5.352,4.858,-0.494
114,41.957,5.352,-36.605
115,29.179,41.957,12.778
116,32.687,29.179,-3.508
117,31.367,32.687,1.32
118,5.38,31.367,25.987
119,39.032,5.38,-33.652
120,26.718,39.032,12.314
121,29.047,26.718,-2.329
122,32.994,29.047,-3.947
123,104.398,32.994,-71.404
124,74.644,104.398,29.754
125,34.352,74.644,40.292
126,60.652,34.352,-26.3
127,22.472,60.652,38.18
128,19.926,22.472,2.546
129,30.657,19.926,-10.731
130,48.908,30.657,-18.251
131,40.308,48.908,8.6
132,39.893,40.308,0.415
133,23.722,39.893,16.171
134,34.34,23.722,-10.618
135,48.151,34.34,-13.811
136,45.582,48.151,2.569
137,57.127,45.582,-11.545
138,21.977,57.127,35.15
139,24.611,21.977,-2.634
140,28.416,24.611,-3.805
141,32.155,28.416,-3.739
142,32.068,32.155,0.087
143,53.332,32.068,-21.264
144,19.668,53.332,33.664
145,27.069,19.668,-7.401
146,32.208,27.069,-5.139
147,24.814,32.208,7.394
148,40.934,24.814,-16.12
149,42.593,40.934,-1.659
150,51.016,42.593,-8.423
151,24.828,51.016,26.188
152,31.095,24.828,-6.267
153,22.653,31.095,8.442
154,40.856,22.653,-18.203
155,45.036,40.856,-4.18
156,37.525,45.036,7.511
157,34.264,37.525,3.261
158,14.603,34.264,19.661
159,27.46,14.603,-12.857
160,40.782,27.46,-13.322
161,21.965,40.782,18.817
162,42.237,21.965,-20.272
163,28.065,42.237,14.172
164,48.294,28.065,-20.229
165,36.828,48.294,11.466
166,27.501,36.828,9.327
167,36.987,27.501,-9.486
168,32.199,36.987,4.788
169,33.792,32.199,-1.593
170,63.868,33.792,-30.076
171,34.251,63.868,29.617
172,27.785,34.251,6.466
173,8.4,27.785,19.385
174,31.072,8.4,-22.672
175,50.773,31.072,-19.701
176,32.851,50.773,17.922
177,37.266,32.851,-4.415
178,39.641,37.266,-2.375
179,34.469,39.641,5.172
180,17.289,34.469,17.18
181,47.35,17.289,-30.061
182,45.311,47.35,2.039
183,46.538,45.311,-1.227
184,117.668,46.538,-71.13
185,23.584,117.668,94.084
186,28.907,23.584,-5.323
187,16.552,28.907,12.355
188,30.867,16.552,-14.315
189,44.848,30.867,-13.981
190,35.327,44.848,9.521
191,52.347,35.327,-17.02
192,36.373,52.347,15.974
193,21.758,36.373,14.615
194,29.947,21.758,-8.189
195,67.507,29.947,-37.56
196,34.512,67.507,32.995
197,33.542,34.512,0.97
198,50.915,33.542,-17.373
199,21.614,50.915,29.301
200,36.469,21.614,-14.855
201,25.285,36.469,11.184
202,45.311,25.285,-20.026
203,47.531,45.311,-2.22
204,36.122,47.531,11.409
205,50.034,36.122,-13.912
206,44.595,50.034,5.439
207,20.134,44.595,24.461
208,15.618,20.134,4.516
209,27.622,15.618,-12.004
210,37.06,27.622,-9.438
211,27.059,37.06,10.001
212,32.885,27.059,-5.826
213,29.887,32.885,2.998
214,14.784,29.887,15.103
215,30.985,14.784,-16.201
216,42.179,30.985,-11.194
217,38.013,42.179,4.166
218,36.074,38.013,1.939
219,25.281,36.074,10.793
220,17.874,25.281,7.407
221,10.758,17.874,7.116
222,30.009,10.758,-19.251
223,42.029,30.009,-12.02
224,35.93,42.029,6.099
225,36.38,35.93,-0.45
226,35.317,36.38,1.063
227,20.863,35.317,14.454
228,25.651,20.863,-4.788
229,24.874,25.651,0.777
230,34.465,24.874,-9.591
231,33.301,34.465,1.164
232,28.034,33.301,5.267
233,37.359,28.034,-9.325
234,45.066,37.359,-7.707
235,14.719,45.066,30.347
236,44.708,14.719,-29.989
237,22.454,44.708,22.254
238,46.82,22.454,-24.366
239,37.096,46.82,9.724
240,40.756,37.096,-3.66
241,49.201,40.756,-8.445
242,35.091,49.201,14.11
243,47.419,35.091,-12.328
244,21.547,47.419,25.872
245,41.961,21.547,-20.414
246,54.301,41.961,-12.34
247,41.538,54.301,12.763
248,31.271,41.538,10.267
249,16.956,31.271,14.315
250,59.393,16.956,-42.437
251,58.522,59.393,0.871
252,47.922,58.522,10.6
253,48.151,47.922,-0.229
254,33.862,48.151,14.289
255,23.166,33.862,10.696
256,6.964,23.166,16.202
257,3.003,6.964,3.961
258,58.057,3.003,-55.054
259,23.341,58.057,34.716
260,36.621,23.341,-13.28
261,53.366,36.621,-16.745
262,10.513,53.366,42.853
263,30.009,10.513,-19.496
264,76.303,30.009,-46.294
265,24.847,76.303,51.456
266,30.091,24.847,-5.244
267,52.659,30.091,-22.568
268,35.397,52.659,17.262
269,14.612,35.397,20.785
270,19.049,14.612,-4.437
271,28.055,19.049,-9.006
272,33.051,28.055,-4.996
273,36.138,33.051,-3.087
274,9.885,36.138,26.253
275,32.468,9.885,-22.583
276,18.105,32.468,14.363
277,34.29,18.105,-16.185
278,48.774,34.29,-14.484
279,40.965,48.774,7.809
280,42.329,40.965,-1.364
281,24.684,42.329,17.645
282,19.295,24.684,5.389
283,16.339,19.295,2.956
284,20.27,16.339,-3.931
285,29.392,20.27,-9.122
286,23.49,29.392,5.902
287,48.538,23.49,-25.048
288,21.696,48.538,26.842
289,1.977,21.696,19.719
290,31.961,1.977,-29.984
291,19.44,31.961,12.521
292,40.805,19.44,-21.365
293,33.271,40.805,7.534
294,36.241,33.271,-2.97
295,7.746,36.241,28.495
296,51.385,7.746,-43.639
297,19.353,51.385,32.032
298,31.692,19.353,-12.339
299,9.035,31.692,22.657
300,34.069,9.035,-25.034
301,42.272,34.069,-8.203
302,38.766,42.272,3.506
303,16.256,38.766,22.51
304,35.98,16.256,-19.724
305,25.81,35.98,10.17
306,35.244,25.81,-9.434
307,37.085,35.244,-1.841
308,62.112,37.085,-25.027
309,42.231,62.112,19.881
310,15.526,42.231,26.705
311,25.814,15.526,-10.288
312,37.419,25.814,-11.605
313,49.273,37.419,-11.854
314,55.42,49.273,-6.147
315,22.437,55.42,32.983
316,39.003,22.437,-16.566
317,43.501,39.003,-4.498
318,7.168,43.501,36.333
319,39.722,7.168,-32.554
320,29.323,39.722,10.399
321,33.929,29.323,-4.606
322,53.966,33.929,-20.037
323,19.705,53.966,34.261
324,22.421,19.705,-2.716
325,31.807,22.421,-9.386
326,25.427,31.807,6.38
327,5.216,25.427,20.211
328,2.857,5.216,2.359
329,36.376,2.857,-33.519
330,24.116,36.376,12.26
331,50.702,24.116,-26.586
332,53.963,50.702,-3.261
333,14.842,53.963,39.121
334,9.99,14.842,4.852
335,37.576,9.99,-27.586
336,34.193,37.576,3.383
337,46.111,34.193,-11.918
338,27.867,46.111,18.244
339,33.755,27.867,-5.888
340,10.054,33.755,23.701
341,21.585,10.054,-11.531
342,30.879,21.585,-9.294
343,36.867,30.879,-5.988
344,20.475,36.867,16.392
345,26.28,20.475,-5.805
346,79.662,26.28,-53.382
347,30.46,79.662,49.202
348,17.581,30.46,12.879
349,58.708,17.581,-41.127
350,40.164,58.708,18.544
351,32.662,40.164,7.502
352,45.57,32.662,-12.908
353,36.484,45.57,9.086
354,11.866,36.484,24.618
355,0.819,11.866,11.047
356,28.103,0.819,-27.284
357,28.497,28.103,-0.394
358,46.301,28.497,-17.804
359,18.432,46.301,27.869
360,41.797,18.432,-23.365
361,40.077,41.797,1.72
362,24.951,40.077,15.126
363,35.075,24.951,-10.124
364,29.928,35.075,5.147
365,40.071,29.928,-10.143
366,53.112,40.071,-13.041
367,31.224,53.112,21.888
368,28.165,31.224,3.059
369,20.741,28.165,7.424
370,15.732,20.741,5.009
371,46.791,15.732,-31.059
372,33.884,46.791,12.907
373,47.711,33.884,-13.827
374,49.614,47.711,-1.903
375,46.151,49.614,3.463
376,23.02,46.151,23.131
377,38.363,23.02,-15.343
378,36.615,38.363,1.748
379,40.634,36.615,-4.019
380,26.624,40.634,14.01
381,36.595,26.624,-9.971
382,65.257,36.595,-28.662
383,14.025,65.257,51.232
384,38.866,14.025,-24.841
385,50.532,38.866,-11.666
386,65.092,50.532,-14.56
387,32.929,65.092,32.163
388,44.273,32.929,-11.344
389,22.341,44.273,21.932
390,22.039,22.341,0.302
391,44.043,22.039,-22.004
392,43.803,44.043,0.24
393,20.096,43.803,23.707
394,31.617,20.096,-11.521
395,35.76,31.617,-4.143
396,21.105,35.76,14.655
397,33.256,21.105,-12.151
398,37.209,33.256,-3.953
399,41.459,37.209,-4.25
400,35.388,41.459,6.071
401,38.295,35.388,-2.907
402,12.036,38.295,26.259
403,28.139,12.036,-16.103
404,32.697,28.139,-4.558
405,37.765,32.697,-5.068
406,31.527,37.765,6.238
407,43.354,31.527,-11.827
408,61.277,43.354,-17.923
409,43.843,61.277,17.434
410,41.204,43.843,2.639
411,28.336,41.204,12.868
412,57.517,28.336,-29.181
413,20.601,57.517,36.916
414,23.728,20.601,-3.127
415,6.799,23.728,16.929
416,17.977,6.799,-11.178
417,12.798,17.977,5.179
418,30.671,12.798,-17.873
419,52.395,30.671,-21.724
420,23.997,52.395,28.398
421,56.705,23.997,-32.708
422,57.108,56.705,-0.403
423,33.21,57.108,23.898
424,17.197,33.21,16.013
425,34.65,17.197,-17.453
426,37.901,34.65,-3.251
427,32.229,37.901,5.672
428,51.234,32.229,-19.005
429,24.651,51.234,26.583
430,20.541,24.651,4.11
431,12.248,20.541,8.293
432,48.494,12.248,-36.246
433,46.85,48.494,1.644
434,21.656,46.85,25.194
435,12.819,21.656,8.837
436,8.282,12.819,4.537
437,27.345,8.282,-19.063
438,14.081,27.345,13.264
439,26.77,14.081,-12.689
440,21.669,26.77,5.101
441,22.084,21.669,-0.415
442,21.509,22.084,0.575
443,14.035,21.509,7.474
444,34.799,14.035,-20.764
445,30.414,34.799,4.385
446,35.504,30.414,-5.09
447,8.158,35.504,27.346
448,52.55,8.158,-44.392
449,47.048,52.55,5.502
450,20.173,47.048,26.875
451,13.037,20.173,7.136
452,37.148,13.037,-24.111
453,53.849,37.148,-16.701
454,37.261,53.849,16.588
455,46.834,37.261,-9.573
456,28.391,46.834,18.443
457,33.585,28.391,-5.194
458,38.639,33.585,-5.054
459,49.296,38.639,-10.657
460,33.094,49.296,16.202
461,31.292,33.094,1.802
462,14.65,31.292,16.642
463,36.444,14.65,-21.794
464,46.988,36.444,-10.544
465,43.28,46.988,3.708
466,16.122,43.28,27.158
467,62.174,16.122,-46.052
468,53.94,62.174,8.234
469,41.054,53.94,12.886
470,18.789,41.054,22.265
471,39.652,18.789,-20.863
472,42.638,39.652,-2.986
473,43.143,42.638,-0.505
474,39.058,43.143,4.085
475,32.015,39.058,7.043
476,32.315,32.015,-0.3
477,37.251,32.315,-4.936
478,23.226,37.251,14.025
479,15.779,23.226,7.447
480,41.038,15.779,-25.259
481,41.158,41.038,-0.12
482,23.684,41.158,17.474
483,37.152,23.684,-13.468
484,47.296,37.152,-10.144
485,44.949,47.296,2.347
486,30.062,44.949,14.887
487,31.441,30.062,-1.379
488,40.165,31.441,-8.724
489,45.419,40.165,-5.254
490,62.01,45.419,-16.591
491,45.915,62.01,16.095
492,33.595,45.915,12.32
493,21.282,33.595,12.313
494,25.301,21.282,-4.019
495,26.888,25.301,-1.587
496,39.772,26.888,-12.884
497,21.693,39.772,18.079
498,28.118,21.693,-6.425
499,22.187,28.118,5.931
500,38.961,22.187,-16.774
501,12.074,38.961,26.887
502,36.4,12.074,-24.326
503,59.404,36.4,-23.004
504,42.028,59.404,17.376
505,54.907,42.028,-12.879
506,30.284,54.907,24.623
507,10.262,30.284,20.022
508,20.025,10.262,-9.763
509,45.663,20.025,-25.638
510,30.891,45.663,14.772
511,17.211,30.891,13.68
512,24.48,17.211,-7.269
513,12.569,24.48,11.911
514,13.306,12.569,-0.737
515,41.007,13.306,-27.701
516,41.273,41.007,-0.266
517,35.081,41.273,6.192
518,40.179,35.081,-5.098
519,12.061,40.179,28.118
520,12.271,12.061,-0.21
521,42.349,12.271,-30.078
522,18.414,42.349,23.935
523,1.717,18.414,16.697
524,17.92,1.717,-16.203
525,23.514,17.92,-5.594
526,18.892,23.514,4.622
527,36.392,18.892,-17.5
528,1.688,36.392,34.704
529,1.981,1.688,-0.293
530,1.758,1.981,0.223
531,24.788,1.758,-23.03
532,1.45,24.788,23.338
533,6.532,1.45,-5.082
534,0.63,6.532,5.902
535,41.965,0.63,-41.335
536,29.654,41.965,12.311
537,5.184,29.654,24.47
538,4.581,5.184,0.603
539,11.122,4.581,-6.541
540,39.972,11.122,-28.85
541,25.241,39.972,14.731
542,26.023,25.241,-0.782
543,30.622,26.023,-4.599
544,44.612,30.622,-13.99
545,1.945,44.612,42.667
546,21.291,1.945,-19.346
547,6.353,21.291,14.938
548,5.694,6.353,0.659
549,41.412,5.694,-35.718
550,48.379,41.412,-6.967
551,40.113,48.379,8.266
552,2.537,40.113,37.576
553,2.341,2.537,0.196
554,7.856,2.341,-5.515
555,11.899,7.856,-4.043
556,1.454,11.899,10.445
557,6.974,1.454,-5.52
558,7.001,6.974,-0.027
559,12.452,7.001,-5.451
560,38.076,12.452,-25.624
561,33.062,38.076,5.014
562,14.097,33.062,18.965
563,12.199,14.097,1.898
564,38.485,12.199,-26.286
565,6.331,38.485,32.154
566,11.29,6.331,-4.959
567,27.114,11.29,-15.824
568,10.549,27.114,16.565
569,16.308,10.549,-5.759
570,43.822,16.308,-27.514
571,34.902,43.822,8.92
572,11.945,34.902,22.957
573,47.906,11.945,-35.961
574,35.203,47.906,12.703
575,3.609,35.203,31.594
576,30.696,3.609,-27.087
577,13.061,30.696,17.635
578,3.308,13.061,9.753
579,3.664,3.308,-0.356
580,41.373,3.664,-37.709
581,22.777,41.373,18.596
582,43.764,22.777,-20.987
583,12.406,43.764,31.358
584,1.802,12.406,10.604
585,20.416,1.802,-18.614
586,8.369,20.416,12.047
587,3.488,8.369,4.881
588,9.702,3.488,-6.214
589,15.21,9.702,-5.508
590,25.811,15.21,-10.601
591,11.192,25.811,14.619
592,6.901,11.192,4.291
593,24.515,6.901,-17.614
594,18.209,24.515,6.306
595,22.614,18.209,-4.405
596,3.666,22.614,18.948
597,3.947,3.666,-0.281
598,37.371,3.947,-33.424
599,31.848,37.371,5.523
600,36.176,31.848,-4.328
601,3.783,36.176,32.393
602,35.175,3.783,-31.392
603,34.5,35.175,0.675
604,29.306,34.5,5.194
605,1.945,29.306,27.361
606,39.779,1.945,-37.834
607,20.364,39.779,19.415
608,14.186,20.364,6.178
609,47.985,14.186,-33.799
610,3.25,47.985,44.735
611,6.605,3.25,-3.355
612,40.785,6.605,-34.18
613,23.821,40.785,16.964
614,38.152,23.821,-14.331
615,23.311,38.152,14.841
616,59.487,23.311,-36.176
617,3.587,59.487,55.9
618,20.588,3.587,-17.001
619,12.975,20.588,7.613
620,1.19,12.975,11.785
621,41.089,1.19,-39.899
622,47.535,41.089,-6.446
623,44.429,47.535,3.106
624,12.978,44.429,31.451
625,2.42,12.978,10.558
626,8.717,2.42,-6.297
627,17.442,8.717,-8.725
628,30.183,17.442,-12.741
629,12.55,30.183,17.633
630,14.465,12.55,-1.915
631,9.831,14.465,4.634
632,19.358,9.831,-9.527
633,12.96,19.358,6.398
634,10.024,12.96,2.936
635,11.677,10.024,-1.653
636,31.333,11.677,-19.656
637,11.838,31.333,19.495
638,25.44,11.838,-13.602
639,15.122,25.44,10.318
640,44.383,15.122,-29.261
641,6.545,44.383,37.838
