,true_value
2011-07-29,6.249457
2011-07-30,28.978653
2011-07-31,37.209164
2011-08-01,5.041244
2011-08-02,4.197217
2011-08-03,18.191746
2011-08-04,10.598673
2011-08-05,17.045626
2011-08-06,19.768538
2011-08-07,4.457012
2011-08-08,6.889863
2011-08-09,10.799355
2011-08-10,4.010357
2011-08-11,10.415899
2011-08-12,1.082855
2011-08-13,7.153507
2011-08-14,20.568413
2011-08-15,0.053093
2011-08-16,23.585726
2011-08-17,10.459173
2011-08-18,20.078642
2011-08-19,14.548634
2011-08-20,7.380115
2011-08-21,18.158154
2011-08-22,9.413587
2011-08-23,24.157368
2011-08-24,26.350973
2011-08-25,4.354628
2011-08-26,2.607425
2011-08-27,11.574437
2011-08-28,7.331732
2011-08-29,9.05885
2011-08-30,2.946743
2011-08-31,8.69801
2011-09-01,18.942417
2011-09-02,29.559202
2011-09-03,33.07626
2011-09-04,24.370838
2011-09-05,6.20393
2011-09-06,0.861753
2011-09-07,6.224607
2011-09-08,6.710543
2011-09-09,0.0
2011-09-10,0.0
2011-09-11,0.0
2011-09-12,24.368256
2011-09-13,19.047916
2011-09-14,21.628246
2011-09-15,9.560334
2011-09-16,27.550896
2011-09-17,19.605715
2011-09-18,46.381443
2011-09-19,25.839375
2011-09-20,22.191675
2011-09-21,21.345737
2011-09-22,7.049303
2011-09-23,16.748842
2011-09-24,13.607689
2011-09-25,20.78997
2011-09-26,22.447428
2011-09-27,15.534628
2011-09-28,12.393591
2011-09-29,44.984005
2011-09-30,44.964664
2011-10-01,11.469744
2011-10-02,15.823211
2011-10-03,2.131888
2011-10-04,30.077812
2011-10-05,11.50533
2011-10-06,32.98811
2011-10-07,28.777771
2011-10-08,17.73707
2011-10-09,4.767227
2011-10-10,19.205393
2011-10-11,12.939578
2011-10-12,15.313079
2011-10-13,5.593879
2011-10-14,9.329688
2011-10-15,4.736612
2011-10-16,34.64839
2011-10-17,30.301636
2011-10-18,25.651999
2011-10-19,16.589094
2011-10-20,19.49836
2011-10-21,16.82335
2011-10-22,25.493382
2011-10-23,10.996559
2011-10-24,20.14252
2011-10-25,23.26852
2011-10-26,25.188148
2011-10-27,36.08292
2011-10-28,30.948458
2011-10-29,18.767948
2011-10-30,13.709501
2011-10-31,15.341518
2011-11-01,22.04602
2011-11-02,13.73162
2011-11-03,19.538101
2011-11-04,25.427156
2011-11-05,19.633432
2011-11-06,13.194927
2011-11-07,19.035892
2011-11-08,32.89228
2011-11-09,42.399258
2011-11-10,12.329902
2011-11-11,38.426567
2011-11-12,28.266766
2011-11-13,19.111765
2011-11-14,16.866098
2011-11-15,19.520836
2011-11-16,13.22428
2011-11-17,21.723932
2011-11-18,40.28298
2011-11-19,20.321499
2011-11-20,22.63157
2011-11-21,34.96418
2011-11-22,14.192446
2011-11-23,13.022719
2011-11-24,10.816218
2011-11-25,14.958703
2011-11-26,3.446131
2011-11-27,11.562535
2011-11-28,9.456183
2011-11-29,24.106688
2011-11-30,26.784842
2011-12-01,31.307858
2011-12-02,37.09739
2011-12-03,18.202076
2011-12-04,12.000837
2011-12-05,20.811596
2011-12-06,59.399372
2011-12-07,36.590572
2011-12-08,22.005959
2011-12-09,22.382988
2011-12-10,9.653301
2011-12-11,31.431847
2011-12-12,38.057003
2011-12-13,35.049046
2011-12-14,20.54332
2011-12-15,32.758755
2011-12-16,27.532164
2011-12-17,28.573092
2011-12-18,19.172216
2011-12-19,25.412537
2011-12-20,25.712864
2011-12-21,18.373959
2011-12-22,3.364014
2011-12-23,21.003397
2011-12-24,13.987345
2011-12-25,15.12862
2011-12-26,13.862457
2011-12-27,9.297256
2011-12-28,0.474371
2011-12-29,0.0
2011-12-30,4.482963
2011-12-31,4.18679
2012-01-01,18.931734
2012-01-02,6.341326
2012-01-03,16.385784
2012-01-04,19.221493
2012-01-05,5.082848
2012-01-06,29.586697
2012-01-07,10.262062
2012-01-08,0.0
2012-01-09,18.973011
2012-01-10,22.304611
2012-01-11,28.225801
2012-01-12,10.151537
2012-01-13,16.902773
2012-01-14,18.776424
2012-01-15,12.221831
2012-01-16,9.375432
2012-01-17,32.341076
2012-01-18,27.259363
2012-01-19,33.116116
2012-01-20,17.490572
2012-01-21,31.207342
2012-01-22,14.131272
2012-01-23,17.213348
2012-01-24,24.050373
2012-01-25,14.461812
2012-01-26,8.725596
2012-01-27,29.735464
2012-01-28,0.757859
2012-01-29,7.118338
2012-01-30,3.316802
2012-01-31,23.726795
2012-02-01,3.883758
2012-02-02,26.131624
2012-02-03,5.600176
2012-02-04,8.644311
2012-02-05,20.316473
2012-02-06,19.49024
2012-02-07,11.96976
2012-02-08,7.256447
2012-02-09,4.499555
2012-02-10,5.583472
2012-02-11,15.985786
2012-02-12,27.783417
2012-02-13,31.713755
2012-02-14,23.224676
2012-02-15,38.05474
2012-02-16,26.050665
2012-02-17,30.008577
2012-02-18,12.873591
2012-02-19,17.48829
2012-02-20,17.02969
2012-02-21,24.778086
2012-02-22,18.169256
2012-02-23,19.447714
2012-02-24,22.732946
2012-02-25,12.723295
2012-02-26,27.388367
2012-02-27,19.103182
2012-02-28,17.543657
2012-02-29,28.768139
2012-03-01,20.849123
2012-03-02,20.588638
2012-03-03,12.935252
2012-03-04,6.540103
2012-03-05,53.90805
2012-03-06,38.89487
2012-03-07,24.906176
2012-03-08,18.249214
2012-03-09,31.312693
2012-03-10,34.19722
